Localidade,A inclusão de alunos com deficiência nas escolas regulares é um tema prioritário da gestão,A inclusão de alunos com deficiência nas escolas regulares não é um tema prioritário da gestão
Norte,144,306
Nordeste,644,1147
Sudeste,699,965
Sul,311,878
Centro-Oeste,132,334
